xyzdmxyzcountry,xyzdmxyzyearrange,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzdistribution,xyzdpxyzsi_spr_pcap_zg,xyzdcxyzpppyear,xyzdmxyzcoverage,survey_coverage
BEL,2012-2017,FALSE,INC,m50,.45435775,2017,N,N
BEL,2012-2017,FALSE,INC,b40,.44032371,2011,N,N
BEL,2012-2017,FALSE,INC,tot,.42204476,2017,N,N
BEL,2012-2017,FALSE,INC,b40,.4403247,2017,N,N
BEL,2012-2017,FALSE,INC,premium,.01828086,2011,N,N
BEL,2012-2017,FALSE,INC,m50,.45435715,2011,N,N
BEL,2013-2018,FALSE,INC,m50,.93572283,2011,N,N
BEL,2013-2018,FALSE,INC,b40,1.4084,2017,N,N
BEL,2013-2018,FALSE,INC,b40,1.4083976,2011,N,N
BEL,2013-2018,FALSE,INC,premium,.47846353,2011,N,N
BEL,2013-2018,FALSE,INC,tot,.92993402,2011,N,N
BEL,2013-2018,FALSE,INC,tot,.92993463,2017,N,N
BEL,2013-2018,FALSE,INC,premium,.47846537,2017,N,N
BEL,2013-2018,FALSE,INC,m50,.93572601,2017,N,N
BEL,2014-2019,FALSE,INC,premium,.74308372,2011,N,N
BEL,2014-2019,FALSE,INC,m50,1.4300436,2011,N,N
BEL,2014-2019,FALSE,INC,tot,1.4109833,2011,N,N
BEL,2014-2019,FALSE,INC,premium,.74307766,2017,N,N
BEL,2014-2019,FALSE,INC,tot,1.4109864,2017,N,N
BEL,2014-2019,FALSE,INC,m50,1.430042,2017,N,N
BEL,2014-2019,FALSE,INC,b40,2.154067,2011,N,N
BEL,2014-2019,FALSE,INC,b40,2.1540641,2017,N,N
BEL,2015-2020,FALSE,INC,premium,1.1129349,2017,N,N
BEL,2015-2020,FALSE,INC,tot,1.0911994,2011,N,N
BEL,2015-2020,FALSE,INC,b40,2.2041342,2017,N,N
BEL,2015-2020,FALSE,INC,m50,1.0005649,2017,N,N
BEL,2015-2020,FALSE,INC,tot,1.0911992,2017,N,N
BEL,2015-2020,FALSE,INC,m50,1.000564,2011,N,N
BEL,2015-2020,FALSE,INC,b40,2.2041318,2011,N,N
BEL,2015-2020,FALSE,INC,premium,1.1129324,2011,N,N
BEN,2011-2015,FALSE,CONS,tot,.07346505,2017,N,N
BEN,2011-2015,FALSE,CONS,b40,-5.1896781,2017,N,N
BEN,2011-2015,FALSE,CONS,b40,-5.1896715,2011,N,N
BEN,2011-2015,FALSE,CONS,m50,1.7913102,2017,N,N
BEN,2011-2015,FALSE,CONS,premium,-5.2631322,2011,N,N
BEN,2011-2015,FALSE,CONS,premium,-5.2631432,2017,N,N
BEN,2011-2015,FALSE,CONS,tot,.07346064,2011,N,N
BEN,2011-2015,FALSE,CONS,m50,1.7913243,2011,N,N
BFA,2009-2014,FALSE,CONS,tot,2.9289,2011,N,N
BFA,2009-2014,FALSE,CONS,b40,5.8398521,2017,N,N
BFA,2009-2014,FALSE,CONS,m50,3.5827975,2011,N,N
BFA,2009-2014,FALSE,CONS,b40,5.8398361,2011,N,N
BFA,2009-2014,FALSE,CONS,m50,3.5827984,2017,N,N
BFA,2009-2014,FALSE,CONS,tot,2.9288944,2017,N,N
BFA,2009-2014,FALSE,CONS,premium,2.9109361,2011,N,N
BFA,2009-2014,FALSE,CONS,premium,2.9109577,2017,N,N
BGD,2005-2010,FALSE,CONS,b40,1.7306159,2011,N,N
BGD,2005-2010,FALSE,CONS,b40,1.7306153,2017,N,N
BGD,2005-2010,FALSE,CONS,m50,1.8498859,2017,N,N
BGD,2005-2010,FALSE,CONS,premium,.36169648,2011,N,N
BGD,2005-2010,FALSE,CONS,m50,1.8498814,2011,N,N
BGD,2005-2010,FALSE,CONS,tot,1.3689194,2011,N,N
BGD,2005-2010,FALSE,CONS,premium,.36169102,2017,N,N
BGD,2005-2010,FALSE,CONS,tot,1.3689243,2017,N,N
BGD,2010-2016,FALSE,CONS,b40,1.3490408,2017,N,N
BGD,2010-2016,FALSE,CONS,tot,1.5391504,2017,N,N
BGD,2010-2016,FALSE,CONS,b40,1.3490363,2011,N,N
BGD,2010-2016,FALSE,CONS,premium,-.19011617,2011,N,N
BGD,2010-2016,FALSE,CONS,premium,-.19010959,2017,N,N
BGD,2010-2016,FALSE,CONS,m50,1.6522152,2017,N,N
BGD,2010-2016,FALSE,CONS,tot,1.5391525,2011,N,N
BGD,2010-2016,FALSE,CONS,m50,1.6522132,2011,N,N
BGR,2007-2012,FALSE,INC,b40,1.290483,2017,N,N
BGR,2007-2011,FALSE,INC,premium,.94523922,2011,N,N
BGR,2007-2011,FALSE,INC,b40,1.3952622,2017,N,N
BGR,2007-2011,FALSE,INC,premium,.94525462,2017,N,N
BGR,2007-2012,FALSE,INC,b40,1.2904828,2011,N,N
BGR,2007-2012,FALSE,INC,premium,-.07795252,2017,N,N
BGR,2007-2012,FALSE,INC,tot,1.3684416,2011,N,N
BGR,2007-2012,FALSE,INC,m50,1.7818335,2011,N,N
BGR,2007-2012,FALSE,INC,tot,1.3684355,2017,N,N
BGR,2007-2011,FALSE,INC,tot,.45000758,2017,N,N
BGR,2007-2012,FALSE,INC,m50,1.7818288,2017,N,N
BGR,2007-2011,FALSE,INC,m50,1.7402467,2017,N,N
BGR,2007-2012,FALSE,INC,premium,-.07795882,2011,N,N
BGR,2007-2011,FALSE,INC,b40,1.3952638,2011,N,N
BGR,2007-2011,FALSE,INC,tot,.45002457,2011,N,N
BGR,2007-2011,FALSE,INC,m50,1.7402499,2011,N,N
BGR,2009-2014,FALSE,INC,m50,1.0372148,2011,N,N
BGR,2009-2014,FALSE,INC,premium,-1.6776768,2011,N,N
BGR,2009-2014,FALSE,INC,b40,.43496598,2017,N,N
BGR,2009-2014,FALSE,INC,b40,.43496665,2011,N,N
BGR,2009-2014,FALSE,INC,tot,2.1126533,2017,N,N
BGR,2009-2014,FALSE,INC,premium,-1.6776873,2017,N,N
BGR,2009-2014,FALSE,INC,m50,1.037212,2017,N,N
BGR,2009-2014,FALSE,INC,tot,2.1126435,2011,N,N
BGR,2015-2019,FALSE,INC,tot,9.2491655,2011,N,N
BGR,2015-2019,FALSE,INC,b40,8.953949,2011,N,N
BGR,2015-2019,FALSE,INC,m50,7.7676811,2011,N,N
BGR,2015-2018,FALSE,INC,tot,11.304765,2011,N,N
BGR,2015-2020,FALSE,INC,tot,9.908473,2011,N,N
BGR,2015-2018,FALSE,INC,m50,8.242574,2017,N,N
BGR,2015-2018,FALSE,INC,m50,8.2425985,2011,N,N
BGR,2015-2018,FALSE,INC,premium,-.93625641,2011,N,N
BGR,2015-2020,FALSE,INC,premium,.2220959,2017,N,N
BGR,2015-2020,FALSE,INC,premium,.22210503,2011,N,N
BGR,2015-2019,FALSE,INC,b40,8.9539376,2017,N,N
BGR,2015-2018,FALSE,INC,b40,10.368508,2011,N,N
BGR,2015-2018,FALSE,INC,b40,10.36852,2017,N,N
BGR,2015-2019,FALSE,INC,m50,7.7676572,2017,N,N
BGR,2015-2019,FALSE,INC,premium,-.29521656,2011,N,N
BGR,2015-2018,FALSE,INC,tot,11.304778,2017,N,N
BGR,2015-2019,FALSE,INC,tot,9.2491763,2017,N,N
BGR,2015-2020,FALSE,INC,b40,10.130582,2017,N,N
BGR,2015-2020,FALSE,INC,m50,8.0921646,2017,N,N
BGR,2015-2018,FALSE,INC,premium,-.93625858,2017,N,N
BGR,2015-2020,FALSE,INC,b40,10.130578,2011,N,N
BGR,2015-2019,FALSE,INC,premium,-.29523869,2017,N,N
BGR,2015-2020,FALSE,INC,m50,8.0921774,2011,N,N
BGR,2015-2020,FALSE,INC,tot,9.9084866,2017,N,N
BLR,2006-2011,FALSE,CONS,b40,7.5317621,2017,N,N
BLR,2006-2011,FALSE,CONS,tot,6.8664451,2011,N,N
BLR,2006-2011,FALSE,CONS,m50,7.0164165,2017,N,N
BLR,2006-2011,FALSE,CONS,b40,7.5317607,2011,N,N
BLR,2006-2011,FALSE,CONS,tot,6.8664462,2017,N,N
BLR,2006-2011,FALSE,CONS,m50,7.0164161,2011,N,N
BLR,2006-2011,FALSE,CONS,premium,.66531563,2011,N,N
BLR,2006-2011,FALSE,CONS,premium,.66531585,2017,N,N
BLR,2009-2014,FALSE,CONS,premium,.38476276,2011,N,N
BLR,2009-2014,FALSE,CONS,tot,8.4844732,2011,N,N
BLR,2009-2014,FALSE,CONS,tot,8.4844762,2017,N,N
BLR,2009-2014,FALSE,CONS,m50,8.3191141,2017,N,N
BLR,2009-2014,FALSE,CONS,premium,.3847552,2017,N,N
BLR,2009-2014,FALSE,CONS,m50,8.3191137,2011,N,N
BLR,2009-2014,FALSE,CONS,b40,8.869236,2011,N,N
BLR,2009-2014,FALSE,CONS,b40,8.8692314,2017,N,N
BLR,2011-2016,FALSE,CONS,b40,3.4155112,2017,N,N
BLR,2011-2016,FALSE,CONS,m50,2.3947725,2011,N,N
BLR,2011-2016,FALSE,CONS,tot,2.2721842,2017,N,N
BLR,2011-2016,FALSE,CONS,premium,1.143327,2017,N,N
BLR,2011-2016,FALSE,CONS,m50,2.3947761,2017,N,N
BLR,2011-2016,FALSE,CONS,premium,1.1433325,2011,N,N
BLR,2011-2016,FALSE,CONS,tot,2.2721875,2011,N,N
BLR,2011-2016,FALSE,CONS,b40,3.41552,2011,N,N
BLR,2012-2017,FALSE,CONS,premium,.57686136,2017,N,N
BLR,2012-2017,FALSE,CONS,m50,.55808365,2011,N,N
BLR,2012-2017,FALSE,CONS,m50,.55808429,2017,N,N
BLR,2012-2017,FALSE,CONS,tot,.51548129,2011,N,N
BLR,2012-2017,FALSE,CONS,b40,1.0923408,2017,N,N
BLR,2012-2017,FALSE,CONS,b40,1.0923404,2011,N,N
BLR,2012-2017,FALSE,CONS,premium,.57685906,2011,N,N
BLR,2012-2017,FALSE,CONS,tot,.51547941,2017,N,N
BLR,2013-2018,FALSE,CONS,b40,.70610984,2017,N,N
BLR,2013-2018,FALSE,CONS,tot,-.01509918,2011,N,N
BLR,2013-2018,FALSE,CONS,m50,-.01689669,2011,N,N
BLR,2013-2018,FALSE,CONS,b40,.70610976,2011,N,N
BLR,2013-2018,FALSE,CONS,tot,-.01509898,2017,N,N
BLR,2013-2018,FALSE,CONS,premium,.72120883,2017,N,N
BLR,2013-2018,FALSE,CONS,premium,.72120894,2011,N,N
BLR,2013-2018,FALSE,CONS,m50,-.01691394,2017,N,N
BLR,2014-2019,FALSE,CONS,b40,1.1126082,2011,N,N
BLR,2014-2019,FALSE,CONS,tot,.22543427,2011,N,N
BLR,2014-2019,FALSE,CONS,b40,1.1126109,2017,N,N
BLR,2014-2019,FALSE,CONS,premium,.88717392,2011,N,N
